EVEN 1000,Introduction to Environmental Engineering,"Introduces first-year students to the environmental engineering program from an academic and a career perspective. Covers air quality, applied ecology, chemical processing, energy, engineering for developing communities, environmental remediation, and water resources and treatment. Includes reading and writing on the history of environmental engineering, major environmental issues, and professional ethics."
EVEN 1001,Environmental Engineering 101: An Introduction to Pollution Science,"Surveys the science and engineering needed to understand the environmental and energy challenges which face urbanizing society: air and water pollution, climate change, and mining. Introduces how environmental engineers leverage basic science concepts to reduce pollution and optimize energy use. Analyzes how the mainstream media presents the environmental science of climate change and modern environmental disasters."
EVEN 2840,Independent Study: General Topics,General topics relating to environmental engineering. One-on-one assistance with an instructor.
EVEN 3012,Environmental Engineering Thermodynamics,"Introduces students to fundamentals of thermodynamics. Includes focused coverage of the laws of thermodynamics, system energy balances, state properties (internal energy, enthalpy, entropy, etc.) and property estimation for ideal gases and steam. Additionally, this course will introduce the following concepts: thermodynamic cycles, chemical reaction thermodynamics, psychrometrics, process devices (pumps, heat exchangers, etc.) and reversibility."
EVEN 3550,Sustainability Principles for Engineers,"An introduction to sustainability principles in the field of environmental engineering. Students will apply these principles to engineering problems in order to evaluate the environmental, economic and social implications of engineering and design decisions. Topics include definitions of sustainability, main engineering sustainability challenges (e.g., water, climate and materials), pollution generation and prevention and sustainability assessment tools."
EVEN 4100,Environmental Sampling and Analysis,"Introduces students to techniques for characterization of surface water, subsurface water, soils and sediments, and air and planning of sampling and analysis efforts. Laboratories include stream sampling, drilling, monitoring well installation, water level, slug tests, air sampling."
EVEN 4404,Water Chemistry,"Introduces chemical fundamentals of inorganic aqueous compounds and contaminants in lecture and laboratory. Lecture topics include thermodynamics and kinetics of acids and base reactions, carbonate chemistry, air-water exchange, precipitation, dissolution, complexation, oxidation-reduction and sorption. "
EVEN 4414,Water Chemistry Laboratory,"Reinforces chemical fundamentals of inorganic aqueous compounds and contaminants from CVEN/EVEN 4404 in laboratory experiments and reports. Topics include acids and bases, carbonate chemistry (alkalinity) and other water chemistry characteristics (hardness, dissolved oxygen); precipitation, complexation and oxidation-reduction reactions; and laboratory techniques and reporting. "
EVEN 4424,Environmental Organic Chemistry,"Examines the fundamental physical and chemical transformations affecting the fate and transport of organic contaminants in natural and treated waters. Emphasizes quantitative approach to solubility, vapor pressure, air-water exchange, sorption, hydrolysis and redox reactions, and photodegradation. "
EVEN 4434,Environmental Engineering Design,"Examines the design of facilities for the treatment of municipal water and wastewater, hazardous industrial waste, contaminated environmental sites and sustainable sanitation in developing countries. Economic, societal and site specific criteria impacting designs are emphasized. "
EVEN 4464,Environmental Engineering Processes,"Develops and utilizes analytic solutions for environmental process models that can be used in a) reactor design for processes used in the treatment of water, wastewater and hazardous waste and b) process analysis of natural systems, such as streams and groundwater flow. Models facilitate the tracking of contaminants in engineered and natural systems. "
EVEN 4484,Introduction to Environmental Microbiology,Surveys microbiology topics germane to modern civil and environmental engineering. Provides fundamentals needed to understand microbial processes and ecology in engineered and natural systems and reviews applications emphasizing the interface between molecular biology and classical civil engineering. 
EVEN 4830,Special Topics,
EVEN 4840,Independent Study: General Topics,General topics relating to environmental engineering. One-on-one assistance with an instructor. 
EVEN 4969,Water and Sanitation in Developing Countries,Studies the design and fundamentals behind effective treatment processes and engineering solutions targeted for developing countries. Approaches to clean water and sanitation in lesser industrialized countries often demand alternative solutions to those developed for industrialized societies. Explores issues and solutions developed to tackle these problems. 
EVEN 4980,Senior Thesis 1,"Provides faculty-supervised independent research in environmental engineering for students planning to complete a senior thesis. To be taken prior to EVEN 4990, during the final year before graduation. Department consent required."
EVEN 4990,Senior Thesis 2,"Continuation of EVEN 4980. Consists of final phase of faculty-supervised research, the preparation of a written thesis, and an oral defense of the research to"
EVEN 6940,Master's Candidate for Degree,
EVEN 6950,Master's Thesis,
EVEN 8990,Doctoral Dissertation,
